label	pair	defid	definition
	music, song	10540744	The word a Brazilian uses when they are trying to say the word \"Song.\" The confusion roots from the fact that in Portuguese there is only one word to indicate both \"music\" and \"song.\" For a bystander, the misuse of the word \"song\" is nearly undetectable because, in context, the two words are nearly interchangeable.
	deerugs, drugs	4497878	N. This is slang for the word \"Drugs\"It is pronounced \"Dee-Rugs\"Rather than merging the D and the Rugs together.This was first developed to be able to talk about scoring some drugs in a public area, where talk of drugs would be taboo.This phrase originated in none other than the dirty den of meriden CT.
1	riiight, right	278345	A sarcastic way of saying \"right\"
	rawk, rock	225009	A sarcastic replacement for the word \"rock\", especially used by veteran fans of a rock genre to describe younger fans who've joined solely for the purpose of being trendy. It's also used in the form \"rawker\" to describe a person.
	estufu, shut	1521035	Spanglish for stfu or s.t.f.u.. Its the brazilian way of saying shut the fuck up.
	nady, nasty	6153542	Extremly slang way of saying nasty while you are chill.
	buzzin, cousin	4850592	The blood way of saying Cousin, or Cuzzin. Not always meaning a relative; also can be used to describe someone as a friend.
	ghalato, someone	11702950	Killed Died Got shot - Way to say someone passed away violently, used when other people might be listening to your conversation.
	polio, cool	4845810	1. A highly contagious disease, but a vaccine was created to stop it. 2. Someone who is useless to humanity. 3. A bad substitute for the word \"cool\".
	breasticles, man	1071953	Breasticles: man boobs breast+testicles=breasticles 2:fun way to say man titties
	jacktits, awesome	5061587	Used as a substitute for the word \"awesome,\" or for expressing the perception of excellence.
	ponno, pornography	1401322	discreet way of saying \"pornography\" so that girls, parents, girls parents are unaware that a conversation of porn is taking place. pronounced rapidly for desired effect. term of enderment for friends, like dog, homie, bro.
	pwin, own	2753594	Another way of saying own or pwn.
	dirking, bitch	2675969	When one acts extremely difficult, objectionable, or unpleasant. A modern substitute for the word Bitch. Dirking can be used to explain ones actions when they complain, behave immaturely, or whine.
	sup, whats	11160981	slang way of saying whats up
	wonk, fap	11864018	Another way to say fap
	canine-american, dog	11892331	An alternative for the word \"Dog\".
	smartass, smart	12193039	A smartass is a more vulgar way to say smart mouth, someone who mouths off. If you're a smartass/smart mouth/smart alec, you're someone who talks rudely. An example would be to be talk back with smug or stupid responses, and normally smartasses are kids who decide they can say whatever they want to adults, but that's not the only type of smartass, it's just the most common type of smartass.
	gee, boss	11384911	A common term used in London. It's a way of saying boss or 'ma girl' or 'ma boy'.
	babous, baby	1481785	slang for the word \"baby.\"
	shushy, shut	1245839	this is a different way to say shut the fuck up or shut up.
	budden, button	899723	Budden= the urban way of saying button
	mrrh, meh	12032352	A way of saying \"meh\", but angrily.
	omcc, oh	2949119	Oh My Chesse Cake! A word ussed instead of saying Oh My God or OMG. A better word for younger kids
	fokken, fuck	4224009	An alternative way to say fuck. Originally an Afrikaner word for \"Fuck\", it's become part of South African slang over the years.However, it has been recently popularised internationally by the film District 9. Sharlto Copley who plays \"Wikus Van De Merwe\" can be heard using this phrase throughout the entire film.
	burd, bird	8364511	Another way to say bird but like a turd
	convo, conversation	177867	An abbreviation for the word conversation. To exchange thoughts with another person.
	convo, conversation	4862382	1. Abbreviation for the word conversation 2. Mexican dessert consisting of vanilla ice cream and chocalate sauce with toppings on top and bottomings on the bottom. EX. sprinkles, gummi bears, bacon, cum, cherries 3. VAGINA
	tirkey, turkey	478687	a typo of turkey which was done by mt while playing diablo
	nutty, cool	1508549	a modern, much doper way of saying cool, or sick...or you are about to get loose, do something fun; or maybe even just geet crunk
	ara, dude	168361	eastern Armenian way of saying dude
	daym, damn	669225	Way to say damn, but it sound more pimp, ladies like it... trust ;)
	ey, hey	5748323	A typo when trying to type Hey.
	fingered, something	5707708	A nice way to say something is broken, tired or not working. i.e. fucked
	anywhoo, anyways	1280937	A more funky,radical and random way of saying anyways
	wiffle, wtf	5439861	a faster, cuter way of saying WTF
	fornicate, fuck	11768299	1. To have sexual intercourse outside of marriage. Used in biblical times.2. A less obscene way to say \"fuck.\" Used often by Iron Mike Tyson.
	gnr, lol	4072032	The Black Way Of saying LOL It stands for Gotta Nigga Rollin females could use it as Gbr for Gotta Bitch Rollin
	trunt, whore	6021306	A trunt has many different meanings. Most of witch are people mooshing words that start with t with the word cunt. A trunt is a traveling cunt. Basically an Epicly crude way of saying whore.=) and i love it!
	pahorn, pussy	3150590	A Gaelic slang term for the word Pussy.
	noodle, plug	719134	Def: one who is temporarily acting brainless. Origin: Inner city Philadelphia schools - as a replacement for the word \"plug\" which had the same meaning.
0	skittled, scuttle	1666744	A cooler way to say scuttle along
	chehkit, goodbye	2805287	Another way of saying goodbye, peace out, later, bye, peace, ciao
	ya'r, you	8356861	Another way to say 'you're' or 'you are'.
	coowee, hello	5977626	A babyish way of saying hello to anyone. You parents may say this to you aswell in order to annoy you because they think it's funny
	hatty, ass	913316	Hatty is a word that popped up in the East Melbourne ghetto in Victoria, Australia. It is short for 'Hat-Full-Of-Arseholes' which is a way of telling someone they are more than one arsehole (NOTE: If you don't live in Australia, London or any other place that uses the word arse, it is just our way of saying ass).
	vench, wench	243118	\"vench\" has the same meaning as \"wench\" but vench is to be used less than the word wench.
	cleaech, latching	5936120	1. When a girls vagina suctions to your face and you cant get it unlatched unless you finger her bunghole2. Any dirty way of saying latching onto something or someone.Pronounced: like bleach and leech.
	malaka, wanker	597372	Malaka is the greek way of saying wanker
	skididdle, actual	2712671	to scramble, to scurry or move quickly. A made-up synonym for the word actual word \"skedaddle\". Noun, (ski-di-dle)
	granja, ganja	4442424	A multi-purpose word meaning \"Penis\" or \"Sub Sandwich\". Generally mistaken for the word \"Ganja\" meaning marijuana.
