label	pair	defid	definition
	deats, details	3341165	Slang term for the word \"details\"
	plizzan, plan	5899282	A much cooler way of saying plan. Similar changes can be made to other words as well. For example: Crook-->Crizzook; this tactic simply makes the word much more fun to say, and the speaker will appear approximately twice as cool.
	moneynaire, millionaire	4991959	The lazy way to say Millionaire
	meh, me	2591179	Another shorter way of saying me myself &/or I.
	meh, me	1467236	A very sexy way to say \"Me\".
	safe, better	335803	another way of saying better than usual.
	knoobe, n00b	1975562	A very smart way of saying 'n00b'
	kurbeans, things	6138991	cool stuff,, kk and agreeable form of a word. can be used as literally anything but sounds better when is used when agreeing or saying cool. Not a commonly used word but just a cooler way to say things.
	butter, better	8580505	1. The white or yellow cream goes with almost every food. 2. The word rednecks or people with country accents say the word better.
	wv, someone	3325550	WV- walking vagina. a way of saying someone is a total slut and will sleep with just about anybody, and this is the best way to say it to someones face and they wont know wtf youre talking about. :)
	guise, guys	3674800	The internet slang word for the word \"guys\". Used in chat rooms around the interwebs, especially 4chan
	guise, guys	2593865	Another dumbass way to say \"guys\" on the internet.
	chroo, true	8248732	The better way to say true.
	wuv, love	5675995	A childish way of saying love. Cute, sweet, innocent. Not understood by aliens.
	wuv, love	3740917	A cute way to say love. Best used while cuddling or snuggling with your love. Can be used to start sweet romantic banter. Despite common beleif, it is not any less serious (when used in this situation) than normal love.
	wuv, love	4493190	An adorable, sweet way of saying \"love.\" The only thing cuter is saying wuvvle.
	ooroyt, alright	2581971	the country bumpkin way of saying alright
	gee, gay	1102498	Gee is a replacement for the word gay. It's better than saying the word gay because you cant get in trouble for using in public.
	gee, gay	303055	A slang way to say 'gay' or homosexual
	violin, hello	1792443	A new and hiptacular way to say hello! VIOLIN is said in italic sarcam, thus suggesting that you are indeed not actually saying violin, but chello (cello), a popular term thrown out there by young hipsters wishing to send a quick greeting.
	sheepskin, condom	5719014	What condoms used to be made of... used as a replacement for the word \"condom\" so people can't tell how perverted and disgusting you are.
	queeriffic, terrific	20166	queer way of saying terrific
	sheight, shite	1485178	alternate and subtly delicate spelling for the word shite, or shi'ite.
	chaullin, chillen	5482551	A phrase coined by Milton Ontario Canada teens (mostly born 1989) , another way of sayin \"chillen\", hangout, get together ect.
	aft, all	4496433	n. a shortened version of \"afternoon\"mostly used while IM-ing and too lazy to type out all nine letters of \"afternoon\"
	yhalo, hello	4815211	A basic way of saying \"hello\" in an IM.
	nutduh, not	1522309	The shorter way to say \"not\" and \"the\"
	yfi, fyi	5184813	1. You Fucking Idiot.2. Interchangeable with FYI (For Your Information), with either a more comical or more offensive overtone.3. Deliberate mistake instead of FYI, especially when preceded by \"an\" instead of \"a\". Designed to look like a typo of FYI but really a stealth way of telling someone they're very stupid, or that you're seriously pissed off with them. This usage is the special forces of abbreviation, giving all the fire-power of a WTF (What The Fuck), while leaving none of the evidence.
	earth-moving, mind-blowing	7396194	1. radical; 2. earth shattering; 3. a major life-changing event; 4. Something so very shocking, that moves the ground under your feet; 5. Something that is mind-blowing; 6. surprising; 7. crazy; 8. insane; 9. a doozy; 10. when something is so amazing that it changes your world; 11. to break up or destroy the tranquility or settled state of; 12. another way of saying mind-blowing, or fucking amazing.
	expeno, expensive	5657859	the most common abbreviation for the word expensive
	trick, hoe	4496129	a mean way of saying hoe, whore, slut, player, skank, etc.it can also be said as \"trickass\"
	foe', four	1246495	Slang for the word four
	bbs, brb	7411597	Another way to say brb, only this stands for \"be back soon\".
	wjat, what	10538989	What you type when you aren't paying attention and trying to type \"what\" into the knewboard/texting.
	t-give, thanksgiving	4357058	Short way of saying Thanksgiving
