label	pair	defid	definition
	craeked, crack	2805154	Combination of the word crack and break. Usually used to describe a major fuck up, or party fowl, when a glass pipe or bong is broken.
1	sup, supper	1018640	A shortened form of the word 'supper'.
1	beyotch, bitch	1229834	A friendly use of the word bitch. Usually used in greeting one's friend, or when one has succeeded over someone.
1	cow, concert	3076993	For those who are too cool to say the word \"concert\" but feel too uncool to say the word \"show\" thus, the word \"cow\" is created. It can also be used if one doesn't know whether to consider the cow a concert or a show: concerts are usually big, shows are usually local bands.
1	fawd, fail	6094251	A common occurrence in multiplayer games, the fawd occurs when a player attempts to move whilst the chatbox is enabled. Generally considered a failure by all parties; as such it is often used in place of the word \"fail\".
	punami, pussy	1541557	Slang term for what hot Asian girls call their own vagina while talking dirty during sex. Similar to the use of the word \"pussy\".
1	fecis, feces	1870250	(fess-iss) Like feces but better. a more extreme version of the word feces, used to describe in a superlative manner. Used figuratively to describe extreme filth or other negative conotation. 2. Often used to describe the excrement of a zebra (zeb-ra) not (zeeb-ra).
1	snerfy, cool	156202	another way of saying cool, awesome, etc.
1	fg, fangirl	6510588	Abbreviation of the word \"Fangirl\".
	intel, innovation	1139792	A micro-processor (and other hardware components) manufacturer that needs to taught the meaning of the word innovation. In this respect, rival AMD is no better, having produced absolutely nothing original since its creation. Competition is currently so cut-throat that both companies are shit-scared of each other, trying to cover their asses from the next big dud (HyperThreading anyone?). Now that clock-speed mania has finally subsided, both companies are rushing to finalise production of affordable 1st-generation dual-core PCs. A sensible prediction would be that the Intel Smithfield core will be obscenely expensive but will most definitely outperform AMD's dual-core answer (and yes, I do realise that current stats show otherwise). To top off with the proverbial icing on the cake, both companies capitalise on enthusiast hype to market their bloody awful technology which has been sucking shit through a straw for the past 10 years (much longer for Intel). Neither of these two giants have the foresight to invest in something more feasible for the 21st century; more specifically, quantum processing. The companies have tremendous fan-following (most of the fans being utterly fucked in the head) despite their childish one-upmanship which has been going on for seemingly an eternity.
1	twank, twenty	1857081	A slang term often used in place of the word twenty. A \"y\" can also be added to the end of this word. It is synonymous with the slang term known as dub.
1	oken, ok	1557744	an easyer way of saying ok then, just drop the th
1	deuce, devil	2621007	1. A Word used in place of a swear word. 2A Word used in place of the word devil often as in a mild swear or oath. 2. The face of a die or card having a face of 2. 3. Noun or transitive verb: 1. A tie in Tennis after both opponents have scored 40 points and need only two consecutive points to win the game/set. T 2.The act of bringing the score in a Tennis game/set to a tie.
