label	pair	defid	definition
	handjog, the	5978795	adjectivea) a typo of the word \"handjob\" b) A handjob that is the equivalent of sexy jogging to a girl... its pace isnt too fast and not too slow, but still easier when going down
	hibertexting, hibertext	11821920	The progressive form of the verb \"hibertext\". An act involving someone who neglects and/or ignores all of their friends when they are texting a boy/girl that they are interested in.
	hibertexting, hibertext	11821907	The progressive form of the verb \"hibertext\" An act involving an individual who neglects and/or ignores all of their friends when they are texting a boy/girl whom they are interested in.
	hopefukky, the	5086169	origin: (c2010) a typo of the word hopefully due to misplaced right pinky on the keyboard.. to be in a perpetual state of horniness surviving on the hope you will have sex someday.
	lackfo, people	7207665	A short word for people who are \"LACK of inFO(rmation).\" Description: a slang word for people who like/just give opinions about the objects only from their views (and usually biased), but not try to discover other objective information which related to.
1	kittes, kittens	9946469	a short word for \"Kittens\" or \"Kitties\"
1	coolp, cool	1926991	The coolp way cool people say cool. Possibly started on the internet as a typo of cool. Ex. pwn Often in combination of Ish, another slang term. \"Oh ish that is Coolp!\"
	kbly, the	7953542	A last resort text that is used for extreme time constraints that allow for only one word, but the message needs to include the basics : \"K, bye, love, you\" ; or The utterly ridiculously lazy person that doesn't have enough energy in them to type out the actual words.
1	pwnt, own	629981	Originnally a typo of own, pwn also can be looked at as \"Pawned.\" pwnt is just the past tense of pwn.
	nikia, the	771414	A parody of the mobile phone company Nokia. Originates from a the common typo of the word Nokia.
	f'shixxle, f	1119065	For certain. A spin-off of F'sho, F'shizzle. It originated as a typo of F'shizzle.
1	oul, old	3081303	Irish slang, or way of pronouncing \"old\" in Irish accent. Simply means old.
1	durnk, drunk	1861646	An extremely high level of alcohol intoxication. The origin of the word comes from a common typo (someone trying to type drunk) that occurs while the person typing is intoxicated. Variations of the word include \"Slam Durnk\" and \"three sixty windmill slam durnk.\"
	euphemisms, or	1797527	The act or an example of substituting a mild, indirect, or vague term for one considered harsh, blunt, or offensive: Euphemism is an expression intended by the speaker to be less offensive, disturbing, or troubling to the listener than the word or phrase it replaces, or in the case of doublespeak to make it less troublesome for the speaker. When a phrase is used as a euphemism, it often becomes a metaphor whose literal meaning is dropped. Euphemisms are often used to hide unpleasant or disturbing ideas, even when the literal term for them is not necessarily offensive. This type of euphemism is used in public relations and politics, where it is sometimes disparagingly called doublespeak. There are also superstitious euphemisms, based (consciously or subconsciously) on the idea that words have the power to bring bad fortune (for example, not speaking the word \"cancer\"; see Etymology and Common examples below) and religious euphemisms, based on the idea that some words are sacred, or that some words are spiritually imperiling (taboo; see Etymology and Religious euphemisms below).
	dublidad, fuckhead	2204880	fuckhead but to the nth degree. Generally someone who is a fuckhead on purpose and loves every second of it. Originates from early nokia mobile phones with predictive text, particularly the 5110 - \"dublidad\" was the first suggestion by the internal dictionary when trying to type \"fuckhead\".
	dublidad, fuckhead	2203013	fuckhead but to the nth degree. Generally someone who is a fuckhead on purpose and loves every second of it. Originates from early nokia mobile phones with predictive text, particularly the 5110 - \"dublidad\" was the first suggestion by the internal dictionary when trying to type \"fuckhead\".
	bettering, the	10670856	A typo of the word 'Betterish'. Meaning feeling a little better, but not quite.
	wauta, the	2860962	The abbreviation for \"What are you thinking about?\". Often used by IMers too lazy to type out the full question
1	drammer, drummer	3288777	A person who causes, takes part in, and lives for creating drama. Like drama queen but can be of any gender or orientation. Originally a typo of \"drummer.\"
