label	pair	defid	definition
1	leeb, 1338	25752	It's a way of pronouncing 1338. \"1338\" is a notch above \"word1337/word\".
1	thong, thing	9292518	1.) A woman's undergarments.2.) A typo of 'thing'
	shitted, form	2160916	a past-tense of the verb form of shit
	roleplaying, roleplay	6990543	The present progressive for of the verb roleplay. To pretend you are someone else, normally as part of a game like DnD.
	squain, squay	1208179	v. Past-tense of the verb \"squay\", to kill with exquisite talent and the use of a slingshot.
	sie, the	3811948	A common typo of the word 'die'. It is now common to the point where it is misspelled intentionally.
	chew-wid-that, chill	2876525	Oakland slang way of pronouncing chill with that. A verb phrase telling someone to stop what they are doing, most likely because its some dumb ish.
	gatted, to	1796807	Gatted is the past tense of the verb to gat, which me get shot for example
1	twat, pussy	12162253	Its a girls private part and a short word for pussy
	gg, and	11920312	Literally something that you say after every match on a multiplayer video game.An acronym for \"good game\" or \"go go\" (usually said at the start of a match). It's usually used because it's very quick to type out and you want to acknowledge the other gamers that you played with without having to start an awkward conversation that no one really want to participate in.
	rekt, the	7367743	A word commonly use by the many swaggots which surf the internet who are too lazy to type out the word \"Wrecked\" and therefore resort to the word \"Rekt\". Also used by various other users. Etc. Etc.
1	omm, oml	11532045	Tbh it was probably a typo for \"OML\" \"oh my lord\"
	rorl, rofl	5218394	RORL was invented when an awesome person who we can't name made a type-o whilst trying to type ROFL, meaning rolling on floor laughing, since the \"r\" is right on top of the \"f\" so cut the awesome person some slack. Then, the idiot whom the awesome person was talking to decided to make a dumb acronym for RORL which was Rolling on Roof Laughing. Thus RORL was born and is now commonly used by people trying to mix it up so that they don't write lol ALL THE TIME!
	ruew, row	3996119	The past tense of the verb \"Row\" or \"To Row\"
	jaint, fuck	3079804	A word that encompasses everything. In it's origin, jaint was used to define a noun, specifically a place (ie - Yo what be crackin up in this jaint?), but has widened it's scope to now include any word in the dictionary. It has become broader than the word fuck, in that not only is it acceptable to use it to replace random words in a sentence, but now it is acceptable to use jaint to replace ALL the words in a sentence.
	wuck, the	675086	A typo of the original word 'fuck' however is currently being used by some pathetic soul in some other persons basement. Basically used for humor porpuses, it may keep some of us amused for about 5 minutes before we get bored and move onto something else... like fruit salad. Other than that, you really shouldn't give a wuck.
	cool, awesome	5594871	The word \"cool\" is a word of far superior quality than the word \"awesome.\" The word \"awesome\" is connotated most frequently with bum pirates, drug-riddled shoplifters, or other people of generally poor caliber, whereas the word \"cool\" connotates a standard of being far exceeding all other words. \"Cool\" has been used throughout time and space and will continue to be the supreme king of all that is admirable, great, or majestic. \"Awesome\" forever will be a subset of the word \"cool\", but \"cool\" is without a doubt the indisputed champion, godfather, and ultimate, complete, freakishly perfect winner of all other words... especially \"awesome.\"
	pearc, crape	2864882	A word that is a whole lot better than the word CRAPE which is a stupid word.
	nomah, nomar	602403	1. strange way of pronouncing nomar garciaparra's name 2. crappy baseball player that is pissed off that he almost got traded and doesn't want to play in Boston anymore
	hopefukky, the	5086169	origin: (c2010) a typo of the word hopefully due to misplaced right pinky on the keyboard.. to be in a perpetual state of horniness surviving on the hope you will have sex someday.
	vum, vow	11010016	To swear or vowAn alteration of the verb vow from the American Revolution
	iono, a	483025	Lazy people, who are too lazy to type out a complete word on the computer. Never capitlized. I dunno, I don't know. I first hurd the 'word' from my boyfriend online.. and I was like what the f*ck are you saying?!
	sprint, a	11807155	Slow moving behemoth of a communications company, whose employees communicate all the time without communicating anything other than \"You need to communicate with somebody else, don't ask who else, just don't ask me\" or merely \"Adding _____ \" hoping some form of intelligent life will be found...much like waiting for a monkey to type out a line of Shakespeare on a typewriter.
1	pooks, pookie	12480008	A short word for pookie, sweeter than pookie. A word you say to your loved one in a cute way.
	k, the	5619434	The most annoying and infuriating way of saying \"okay\" or \"alright\". Usually accompanied by a period (k.) and often the only thing said for one person's part of a conversation. Often used by people in text conversations who are too damn lazy to type out the entire word. It's very indirect and nondescript, you can't tell how someone feels about something if they just say \"k.\"Don't do it. It's annoying.
1	srmin, armin	9333197	Srmin is a typo of Armin and is a meme used by a small community on Quotev
1	jogurt, yogurt	11431593	a Swedish way of pronouncing \"yogurt\"
	qwertyuiopasdfghjklzxcvbnmnbvcxzlkjhgfdsapoiuytrewq, your	12924377	If you are here, there is a good chance you were so bored you decided to type out your entire keyboard forward and backwards. Congratulations, you officially have no life
	trebbing, to	4356188	The gerund form of the verb To Treb. Trebbing is using Alex Trebek as a recreational drug. Side effects include Canadian heritage, smart ass knowledge, and an intense hatred for your tenured position.Other street names include: Trib, Trob, Bacon n' Trebs, Fat Treb, Hot Treb, Deep Treble, That GOOD Shit, Trebicle, Treblesome, Trebdiculous, Treb Door, Trebpipulous, Trebdapadon.
1	fayl, fail	6374883	A typo of \"fail\" that turned into something much more.Pronounced (fay-ULL)
	blapping, blapp	2620146	1){v.} present tense form of the verb blapp! Smacking around the face (mostly lips and forehead) with one's erect penis. Hand must be firmly pressed down and wrapped around the base of the shaft of said erect penis. NOTE: The person on the receiving end of the \"BLAPpstick\" must be female and also must enjoy being \"blapped\" in order to actually call it \"blapping\" 2){verb} to yell loudly out the window of one's car in the general direction of any lurkers that look like they need to be blapped, the word \"BLAPp!\"
	pimeape, in	11950921	When it is 3am and you are trying to type in pineapple into Urban DictionaryA misspelling of pineapple
	blardy, the	933781	Australian way of pronouncing the word \"bloody\". \"Bloody\" is used to intensify insults.
1	eoe, wow	816061	A typo for wow, that is intentionally used in certain situations. Such as being sarcastic or really intrigued.
1	pwn, own	1205826	Pronunciation: 'pOn The word that resulted from a typo of OWN. Notice the P is next to the O. Pronounced \"p-own.\" It is not pronounced pween, poon, or pawn. Those are all created by noobs who couldn't figure out what the word was and made up their own pronunciation for it. Origin is similar to that of teh.
1	pwn, own	1664771	To dominate or be better than; to be superior to. Originally a typo for \"own\".
1	pwn, own	1070916	A variation of the verb own, which means to dominate. It is used more on the Internet than in actual oral conversation.
1	pwn, own	405417	a typo of own meaning to dominate, especially in a sense of video game competition and insane poodle combat.
