label	pair	defid	definition
	cormat, common	5738028	Cormat: to convert to a more common file format. Used to tell someone that they are unable to open the file as they have it in an uncommon format such as .abw (AbiWord) or .7z (7-Zip Archive). It is a portmanteau of the word common and format.
	drairith, in	3630157	A word meaning awesome dragon/fairy/thing. Or just plainly awesomeley awesome. It depends on the use of the word in the sentence.
	agnostic, put	3565935	1. An intellectually sound position on a given idea (or thing, or subject, etc.) for which evidence for it's existence is insufficient. 2. The intellectually sound qualifier that most people who understand the meaning of the word put at the beginning of their given religious classification. 3. An atheist who doesn't like the word \"atheist\". 4. An atheist who thinks the definition of \"atheist\" is one who claims to know there are no gods. 5. An atheist who doesn't know that the definition of \"atheist\" is one who does not believe in any gods. 6. A word fought over by all manner of agnostics, atheists and Theists; meaningless minutia.
	fuzzies, that	11562147	The plural form of the word that Yassi uses to express cute creatures (mostly cute animals and babies)
	cretch, creeper	3970405	the combination of the word creeper and cretch. commonly refers to a person who demonstrates position 24.
	stook, stuck	5971567	Another word for \"stuck\"
	sammitz, sandwich	981737	1. (n) Sammitz is a mispronunciation of the word \"sandwich\" by way of the more common mispronunciation, \"sammich,\" and likewise has connotations of special goodness or quality. 2. (n) Used as part of the phrase \"go make me a sammitz,\" which can mean many things, including \"go do something else,\" \"go do something for me that I don't want to do myself,\" or the obvious, \"go make me a sandwich.\"
	balonium, bulls**t	12679542	A word Coined in futurama that is another word for bulls**t information. The only difference between it and others like it is that this bull may be hazardous (possibly true) to your health
	badware, wordspyware	487018	Another word for wordspyware/word or wordadware/ware.
	akay, okay	12829800	Another word for okay; how you respond after someone insults you
	keys, car	4210169	another way to say 'car'
	notx, northern	3016143	A ghetto way to say northern texas
	douchabaga, douchbag	5952945	another word for \"douchbag\" ...just funnier to say XD
	flick, when	250500	A less offensive word to replace a widely used swear word starting with the same letter. Used because of it's similarity to the word when written in block capitals.
	tiredy, sleepy	11070362	Tiredy is the word you use when you get bored with saying \"Im tired.\" Its also a mix of the word sleepy.
	bomp, bomb	2621919	another word for bomb:
	saltin', that	5473402	to lay around and do nothing.sleep init's another way to say that you're chillingroaming around on facebook for hours
	hwott, what	4021651	stands for Holy White Otter Tape Trashers; a more intense way of saying what; a term used for shocking or suprising moments, or to describe a moment or person.
	papolla, vagina	8407858	Another word for vagina
	fohonk, m*fkr	11685951	A fool. Another way of saying m*fkr
	wea, wea	6320408	It is a word used in Chile that replaces the word \"thing\", so it can be used replacing every single noun that exists. It doesn't mean anything wrong but is not a nice way to talk. It is mostly used with people that have the same status or relation. The actual meaning of the word wea depends of the context of the situation.
	dellwifit, dill	8503867	it is a weird and a cooler way of saying dill with it
	hood, hoodlum	1674907	a shortened form of the word hoodlum, meaning criminal
	carz, porn	5699129	Another word for porn.
	bros, bro	5716814	1. Male friends who are close enough to talk about their feelings, without feeling gay.2. Men who act like there are no women around, even when there are. They often wear polo shirts and curse loudly, along with excessive use of the word \"bro\". These types of guys originated the term, \"bro\".
	ralph, vomiting	9397733	Another word for vomiting .
	sim, best	1751480	A way to say \"Best\"
	succ, makes	12004224	a slang word used. Often meaning a female sucking on a males penis (blowjob). Although in some instances the mis spelling of the word makes it comedic enough to put into a message or text and seem random.
	tsfu, stfu	2565516	Yoda's way of saying STFU.
	chyvin, fuck	8125770	Could literally mean anything you want it to, but it's usually just a more appropriate way to say the word fuck.
	ur, your	107368	illiterate individuals way of saying your, or you're.
	drak, dark	104654	Misspelling of the word dark.
	pauwfaw, a	3175483	Another word for a girls genitailia a smelly, fucky, rotten, pussy a scared person
	scooter!, psyche	5922738	(verb) Leading a person to believe that you agree and/or approve of their words and/or actions.This is very common amongst school age children and adults who refuse to accept that they are no longer children. The act is as follows: Agree with the victim and then make a gesture as if you will \"high-five\" them. Next, avoid their hand and make a gesture as if you're riding a scooter (motorcycle or bicycle). Lastly, yell out very loudly \"SCOOTER\" and embarrass your friends until they threaten to stop talking to you. Be very careful, they may begin to SCOOTER you! Pass it on. It's FUN!A variation of the word PSYCHE!
	brobocop, bro	3578194	Brobocop is a combination of the word 'bro' and 'robocop'. It is used to refer to a 'bro' that is always checking up on you and making sure you follow the rules.
	chigro, chigger	5152801	Politically correct way of saying \"chigger.\"
	thrashed, drunk	6670930	Another word for drunk.
	monutes, minutes	6479467	A stupid persons way of saying \"minutes\" or it's also known as a popular way of saying it in the ghetto \"a hood minute\".
