label	pair	defid	definition
	hella/hekka, a	3469951	Another word for a lot, really, descriptive word
1	lidool, little	2723121	Another word for little.
	gutted-dinna, dinna	2464360	a stoners way of expressing there feelings of being gutted, this use of dinna can have many variations, the meaning of the word dinna is something you can only discover once stoned.
1	disgusting, good	4781511	When something is so amazing it breaches the boundaries of sickness, and becomes disgusting.Another word for good, or awesome.
1	yahoo, fail	4471212	Another word for \"Fail\". Comes from the Google verses Yahoo battle, where yahoo *clearly* loses.
	karina, bleaching	2358933	Another word for bleaching hair multiple times.
1	wham, gash	4469138	The equivalent of the masculine use of the word gash, however used to describe a male or the male genitals.
	idnit, isn	2420220	A quick and to the point way to say 'isn't it'
1	ja, yeah	3409083	a much much cooler way to say \"yeah\" or \"yes\"
1	distractified, distracted	4439008	Preppy way to say distracted.
	jazz, you	1119745	1. Nature's way of saying you stuck your fingers into an electical socket 2. Taking un necessary risk just for the fun of the outcome, wether good or bad.
	daink, daink	63252	Now as some of you may have been wondering, there is no formal definition of the word daink, with that \"I\" thrown in between an \"A\" and an \"N\", it may look like giberish and might sound like it also, but i asure you all, it is not. It is a word thatt has many meanings, many wonderfull meanings. From weed, to hutchings stupidity, and back to weed again, Daink is an exceptional word, a word in which you need to not only see but experience to understand. So givin this... daink on my friends.... daink on.
	kips, love	5975487	another word for love handles
1	ponx, punk	2204645	A cool new way of saying punk.
	bamshackled, messed	1157264	a way of saying messed up
1	t00l, tool	573032	(Verb) Internet slang for the word tool similar in definition but does not relate to male body parts. 1. Being a complete Moron/Asshat 2. Doing something stupid at anothers transgression withut realising it 3. losing in a game due to your own fault, loser.
1	jyte, cunt	5659937	Jyte or Jite pronounced like bite but with a J instead of a B. Jyte is the male version of the word cunt. A Jype is a ducebag-y kind of guy, similar to how girls can be huge bitches if they are cunts. A guy who is a Jyte can also be a really Bitchy guy.
2	tizalk, it	3308058	The weird way of saying talk. Tired of the boring way to say it? Well heres the ghetto way.
1	bichon, fuck	4644439	originally known as a type of dog, this word has evolved to the calling of a fair lady that you and your pier fancy, or also another word for Fuck or Shit.
1	krowned, owned	2341144	Also referred to as kr0wn3d in 1337, basically another word for owned, pwned, p00ned, or killed.
	prio, a	1028388	Originates from the ancient billy, thinking that a prio was another word for a three of a kind, a poker hand. This statement by a young hood was exploited to the max and is now used when a 3 point shot is dropped.
