label	pair	defid	definition
	deplayment, deployment	5801439	An alternate version of the word \"deployment\". It accurately describes certain deployments that are easy, have minimal danger associated with them, and are typically mocked by the real members of the military (see: Navy, Marine Corps, or Army).
	snicklefritz, within	5566393	noun. (Sh-nick-L . Frit-z)Snicklefritz was originally used in Pennsylvania Dutch Country, where Snicklefritz is an affectionate name for a mischievous or overly talkative child.\"Schnickelfritz\" was the name of a somewhat popular comedy band in the 1930sIn 1953 Billy Wilder both directed and co-wrote the Oscar winning war drama \"Stalag 17\" About a WWII PoW accused of being an informant within the camp. One scene in the film involves the PoWs betting on mouse races for cigarettes. one race involves two mice named Snicklefritz and Equipoise. Snicklefritz loses to Equipoise when it stops to chase its tail during the race. (This could be the origin of word in the popular comedy \"Pineapple Express\" rating Snicklefritz as a low grade of Marijuana)From 1992-2006 a Canadian children's television series called \"The Big Comfy Couch\" about Loonette the Clown and her doll Molly, who solve everyday problems on their 'Big Comfy Couch'. In the Show, Snicklefritz is the character Granny Garbanzo's scallywag cat.The 2008 Comedy \"Pineapple Express solidified a whole new definition of the word within the Marijuana Subculture.Snicklefritz is referred to in the movie as a very low grade of marijuana. This exact translation has weaved seamlessly throughout the subculture's dialog as to still be used to designate the lowest grades of marijuana or any random strain. This is widely accepted throughout the U.S. as the most common and popular definition of the word.
	talkabouting, objective	4022925	Another word for objective.What You are Talking About.
	wittle, little	2433917	Another way to say \"little\".
	leonidas, someone	12838290	He is one of the sexiest men alive and gets all the girls, but doesn't care for thots so pays them dust. He provides major banter and makes everyone crease with his outta line jokes.Doesn't always know when to stop drinking, but he will always be one of the best people you know. Shortened to leo, which is another word for someone absolutely perfect, gorgeous, funny, sweet and a gentleman. Loves animals.
	sisif, brosif	2466643	1) A word used to describe the tight, non-gay, relationship between two females. 2) The feminine version of the word brosif. 3)Sisif:Brosif::Dudet:Dude (SEE THE WORD \"BROSIF\")
	stupundo, stupid	3594961	Another word for stupid.
	nussing, nothing	3948793	a slang word for the word \"nothing\". It became popular with the movie \"Big Lebowski\". There is a scene in the movie where Jeff Bridges' character is the victim of a break in by some self described nihilists who proclaim they believe in nothing but because of their German accents they pronounce the word as nussing.
	sluggard, nigger	654326	(n) An alternate word used for the word nigger.
	pringled, prawned	2336346	A derivation of the word Prawned, which in itself is derived from Pwned, Owned etc, that was simply formed by changing the named edible body in the former with another edible body that began with 'Pr' and adding an 'ed' suffix An extension of Pringled can be created to form Pringlage/Pringleage/Pringelage depending on self-Grammatical preference. This is also in relation to Ownage/Pwnage and the similar likes. Suggestive forms of 'Pringled' in relation to 'Pwned' statements cannot be included in the use of Nouns. Meaning the term \"To Pringle\" (To Pwn/Prawn) is wrong and not considered a form of 'Pringled'
	pringled, prawned	2341631	A derivation of the word Prawned, which in itself is derived from Pwned, Owned etc, that was simply formed by changing the named edible body in the former with another edible body that began with 'Pr' and adding an 'ed' suffix An extension of Pringled can be created to form Pringlage/Pringleage/Prin gelage depending on self-Grammatical preference. This is also in relation to Ownage/Pwnage and the similar likes. Suggestive forms of 'Pringled' in relation to 'Pwned' statements cannot be included in the use of Nouns. Meaning the term \"To Pringle\" (To Pwn/Prawn) is wrong and not considered a form of 'Pringled'
	coolios, cool	5184304	Coolios is the most awesome way of saying cool. it usual implies a bouncier happier personality and can be used to brighten an otherwise bland statement.
	coolios, cool	2792810	a newer stupid slang word for the word cool. Usually used by only immature brats and fags. (Not to mention the beans)
	coolios, cool	6935870	A better way to say \"Cool\" A funnier way to say \"Cool\"
1	coolios, cool	2917943	Another way of saying cool but sounding like cherios haha
	yoru, your	5679369	A failed spelling of the word 'your'. Usually said when typing too fast.
	belge, virgin	7174575	A slang term for the word 'virgin'Non-belge - Someone who isn't a virgin belge - Someone who is a virgin Extra-belge- someone who has never kissed someone of the opposite sex (is a virgin as well)A slang term for virgin used by teenagers/teens in teeny parts of England
	prost, prostitute	3859001	a shorter way of saying prostitute
	roode, sex	1499779	Polite way of saying sex.
	tats, tattoos	9865501	Short way of saying tattoos.
	thos, that	12809362	Another way of saying \"that\" or \"this\"
	beh, bear	2671592	Occurs when an Australian tries to say the word \"Bear.\" They tend to refuse it make you feel bad for telling them they can't speak proper English. Since Australians are weird, they can't pronounce their \"R's\" so they fail at life. Try to get them to say other words that end with er, like pear. If you get them to yell at you try to record it and play it to humiliate them.
	wincatz, epic	4517210	completely awesome and mind blowing without of the use of the word epic.
1	shoot, bye	1092080	a way of saying bye. ex. paece, later, late, aloha, etc. SHOOT!
	jank, stuff	790628	jank is derived from the word junk} and junk is a similie for the word stuff}. So if one were to say
	jank, stuff	526494	another word for stuff or junk
	bertation, fail	5637883	Another word for fail, deriving from Serene Branson's attempt at reporting from the Grammies, resulting in her melting down on live television in what appeared to be an impersonation of someone having a stroke.
	snootie, sex	9384703	another word for sex
	muthafoh, motherfucker	6652006	Also known as the radio's clean version of the word \"motherfucker\". This is typically created by the rapper/singer/whatever we're calling people on mainstream radio these days when they attempt to say \"motherfucker\" but instead only get to say \"Muthaf-\" before the producers say \"No! We can't say that on the radio! There are very impressionable kids that listen to this thing some people call music!\" and fade them out by distorting the track to say \"oh\" and making their voice go all into the nether regions of the musical notation system. This effect can also be used in the case that they just want to sound \"edgy\" without actually saying \"moherfucker\".
	jes, blitz	2541025	- n. a nickname for a girl that is very cute, possibly one you want to bang. - v. another word for blitz or dump, when a skateboarder falls off his or her board in a rather painful fashion.
	hame, home	1562492	A pimp-ass way to say \"home.\"
	anplop, ass	1862479	Substitute for the word ass when describing a person.
	boofa, beautiful	1855341	A word used to describe your beautiful girlfriend when your breath is taken away and you haven't the energy left in your body to say the word 'beautiful' in its entirety and can only muster up the word 'boofa' before you faint at the sight of her beauty.
