label	pair	defid	definition
	selphia, self	2249878	1. Your wise-ass self. A combining of the name Sophia (meaning \"the wise one,\" from the Greek root Sophos, 'wise') and the English word \"self.\" 2. A glorified version of the word \"self.\"
	pino, pene	2111178	A stupid way to say Pene in spanish, cause Pino has the same letters than pene. so if you change I and O in pino n u remplace it whit E then u have Pene ... it's simple
	recockulous, re-fucking-diculous	163696	Another way to say re-fucking-diculous
	skinnabiff, goodbye	1720473	see you in abit or see you later another word for goodbye
	wanker, tosser	1200007	A commonly used Australian/british/new zealand word used to describe a fuckball, jerk, asshole or jackass. Another word for tosser, which is usually reffered to when someone is being a tool or a complete dick. The term is usually asscossiated with one who masturbates regularly. Often reffered to as having a wank, hence the term wanker (one who wanks).
	trill, chill	6683063	Another word for Chill, Gnarly. Which came from Surf Culture.
	frittata, retard	7921601	1. Most commonly used as a synonym for the word retard in the popular comedy show \"The League\".2. When you get to see a women's Brests unexpectedly without paying her money or buying dinner (free tattas)
	victor, peanuts	9965917	Victor is another word for peanuts.
	weed, marijuana	1984176	Weed is another word for Marijuana. Marijuana is a beautiful plant that can, and should be smoked. All of the people bad mouthing it here, please go and try it then let us know what you think of it.
	weed, marijuana	12272755	another word for marijuana
	weed, marijuana	2713869	Weed, is another word for marijuana. Specifically weed refers to lower quality leaves, stems, sticks and seeds, from the marijuana plant (or marijuana planet if you are high enough). The intoxicating effect of this herb comes from the thc content of the plant. the thc content in marijuana varies from 1-4% (if you have 4% call me)but weed generally has 1-2%. Weed is very popular because of its cheap price and decent intoxicating effect with little to no health risk. Weed is also my personal Jesus. GO WEED GO!
	weed, marijuana	2705646	Another word for marijuana. A natural plant that usually gives positive feelings when smoked/consumed/etc. People who smoke weed aren't trying to run away from their problems. They're just relaxing and taking a break - it's like a lunch break from life. It takes a smart person to stay away from drugs... but it takes a genious to do drugs wisely. If you're constantly stoned, you'll probably end up with some problems. But if you smoke in moderation, you'll be a happy person. It has not been proven that weed causes schizophrenia. Yes, if you smoke too much, it can be harmful to your lungs. If weed is legalized, research could be done to remove the harmful substances from weed. Ever wonder why you never hear anything bad about Jamaica? Weed is legal there. Connect the dots, people! Also, I don't know one person who smokes weed just to \"be cool.\"
	boob, boon	454767	boob is another word for boon
	emrob, individual	3143632	is another word for individual.
	blazaar, bazaar	11559133	Another word for bazaar, but doper
	vegetarian, asshole	8855123	It's another word for asshole who doesn't like steak.
	mc, memory	2138298	Acronym for the word Memory Card.
