label	pair	defid	definition
	narsty, nasty	2855328	Basically a retardation of the word nasty, but invoking more disgust and repulsion.
	spajetty, spaghetti	2064700	Pronouced \"spa-jet-tee,\" it's a bastardized version of the word \"spaghetti,\" similar to how people mispronounce \"lasagna\" or \"mozzarella.\" Used to describe someone who thinks they are Italian or guido, but is really not.
	pritneer, almost	378915	another word for 'almost'. a bastardization of 'pretty near' used mostly in maine.
	nigger, unless	3057756	Sometimes I think that white people are confused on the issue. There has been a lot of diatribe about the word and no real conclusion. So I will break it down, you can not appreciate the power of the word unless you entire history and ancestry was based upon and can be categorized in a single word slave. Jewish people can appreciate this fact because of the persecution the felt during WWII, but the rest of you, don't think you really understand. It is said that 6 million Jewish people died in the holocaust, FYI twice as many died in slavery. Slavery brought about the word so there is so much negative feelings attached to it that to grossly generalize it as a word that means only what Webster says it is, is a slight on everyone that fought for civil equality. Now the word Nigga, that is a different story in itself, that word is meant to be used by niggas' and niggas' only. GET IT, so white boys and girls if think about using the word don't, take it out of your vocabulary, cause it wasn't meant for you like cornrolls, du-rags, and just actin hood in general. Take my advice just do you. Every body want to be a NIGGA but nobody want to be a NIGGA -Paul Mooney
	draayer, matt	306490	Another word for Matt
	balala, terrorist	1150015	Another word for Terrorist
	-ish, shit	1329488	used instead of the word shit
	texas, ass	2508750	another way of saying ass backwards, retarded, inane, or stupid, especially when the behavior is agressively so, and especially when it is very publicly displayed and misrepresents a large group of people.
	roto, retard	5784214	Another cooler way to say retard. Only awesome people know what it means and can use it correctly.
	legitty, legit	5255656	A legit way of misspelling the word \"legit\"Also a more legit way to say the word legit
	chya, yeah	501402	The surf-licious way to say \"yeah.\" May or may not (judging by the context) include a connotation of \"your an idiot!\" or \"HELL yes!\" Note: that when emphasising your attack on your buddy's foolish remark, you should enunciate the \"ch\" part of the word, possibly even holding it for a moment longer
	gupidoop, silly	10602188	another word for silly
0	ren, wanted	3491071	Another word for wanted sex goddess and seductive womanizer.
	smeek, smoke	2686008	Another word for smoke, or to smoke.
	sheeno, beano	992536	another word for beano, or gram of marijuana. my friend invented this one.
	khilo, cool	3483930	Another word for cool, or fly.
	bellido, asshole	4045152	Another word for Asshole
	chestceps, pectorial	5196468	another word for pectorial or chest muscle
	yee, yesa	11978772	A shorter and more swag way to say yesA way dinosaurs speak to each other
	airman, j	685895	Steve M.'s way of saying J.T. Arpent
0	aplbby, best	4264733	A really close friend.It is a combination of two words: \"apl\" stands for \"Amigos Para Life\" \"bby\" is a shortened version of the word \"baby\"(aplbby can also be said as applebby, because of the similarities between \"apl\" and the word apple)Note: Amigos Para Life, (apl) is a funner way to say Best Friends Forever (bff) without sounding like a valley girl.
	poser, posuer	10046327	Incorrect spelling of the word \"posuer\", mainly used by morons and 7th graders.
	ladies, ladies	1526149	The best word for a male to take a normal, innocent sounding sentence, and add an awkward, perverted, creepy twist, in reference to speaking with a female. It is always used at the end of a sentence, and usually follows a comma. For extra effect, can be complimented with lowering of the voice, and raising of the eyebrows. Is used by guys that desperately can't get any action globally. It's use is significantly higher when the man has been consuming copious amounts of alcohol. In extreme cases, subjects have been known to use a weirder and creepier version of the word ladies, which appears to be some sort of obscure reference to the middle ages, by saying m'ladies.
	miscarty, miscarry	4118281	The noob misspelling of the word miscarry, a modern replacement of \"fail\". This originated from sundownoverthesierra & defenestratings on the neopets chat room, Fan clubs.
	wonky, distorted	12357671	Wonk or Wonky is another word for distorted. If your face is not symmetrical then you have a Wonky ass face.
0	pwns, pwns	2151822	Essentially it means \"is much better than\" or \"humiliates\", and is most commonly used as a verb. \"Pwn5\" is the ultimate way to say \"pwns\", much in the same way \"1337\" is the ultimate way to say \"l33t\". The \"5\" represents the \"s\". It is also mid-way between 0 and 10, so is considered a direct hit between the eyes i.e. perfect. This stems from the origins of the word in online multiplayer gaming, where a perfect shot is respected. So if you want to be 1337, you should say \"pwn5\" instead of \"pwns\" ;) :P
0	pwns, pwns	2154255	Essentially it means \"is much better than\" or \"humiliates\", and is most commonly used as a verb. \"Pwn5\" is the ultimate way to say \"pwns\", much in the same way \"1337\" is the ultimate way to say \"l33t\". The \"5\" represents the \"s\". It is also mid-way between 0 and 10, so is considered a direct hit between the eyes i.e. perfect. This stems from the origins of the word in online multiplayer gaming, where a perfect shot is respected. So if you want to be 1337, you should say \"pwn5\" instead of \"pwns\" ;) :P
1	pazanin, tool	3329646	Another word for tool. # Tool is defined as: A person, typically male, who says or does things that cause you to give them a 'what-are-you-even-doing-here' look. The 'what-are-you-even-doing-here' look is classified by a glare in the tool's direction and is usually accompanied by muttering of how big of a tool they are. The tool is usually someone who is unwelcome but no one has the balls to tell them to get lost. The tool is alwasys making comments that are out-of-place, out-of-line or just plain stupid. The tool is always trying too hard to fit in, and because of this, never will. However, the tool is useful because you can use them for things; money, rides, ect. Can be shortened too Paz.
	autogoober, autistic	4033437	Someone who really doesn't know how to act socially with other human beings.It is the combination of the word autistic and goober, because that way, it sounds nicer.Also referred to as moonpie and that one kid you are nice to only because you think they'd kill themselves if they had absolutely no friends and that one kid whose face would be broken if you weren't such a nice person.
	lito, literally	12898241	Shortened version of the word literally.
