label	pair	defid	definition
	yee, hey	1521792	Another way of saying hey(Mac Dre)
	douchenoozle, douchenozzle	6261386	A common misspelling of the word douchenozzle; the misspelling became the norm at a BBS about TV commercials we all hate; it then became rather commonplace.
	muthafuqa, either	12625771	1. An alternative for \"motherfucker\" 2. A term used by the \"ALFA\" organization 3. Another way of saying either \"I really like you\" or \"I really don't acknowledge your existence\"
	fna, that	5546068	A way of saying that something is F*ing Awesome
	donour, most	8060600	The correct and original, but unfortunately obsolete, spelling of the word most commonly spelt now as donor.- From Middle English: donoure/donour - From Anglo-Norman: donour - From Old French: doneur (donneur)A donour, in general, is a person who donates something voluntarily.
	chubi, bitch	3151814	another way of saying 'bitch'. usually is what t9 will spell if you try and type in bitch.
1	greman, german	2036966	A common misspelling of the word \"German\", especially on Chicago Bears messageboards.
	vanilla, prime	6896501	To be amazing in every way possible. Also another way of saying Prime or Dope.
	piamp, pimp	140449	a way of saying pimp, used usually in a facetious tone
	doush, douche	2894338	The Dumbass spelling of the word Douche.
	rays, lines	1725890	Another way of saying lines of cocaine with out alot of people knowing.
	cy@, cya	10825907	A way of saying \"CYA\" popularized by the League of Legends streamer Nightblue3.
	idioth, idiot	308261	Another way of saying idiot. I think it was inented by Group X.
	faiiike, fuck	5688783	interchangeable with, \"daaamn\" or \"shiiit\". Basically another way of saying \"Fuck\".
	dobio, fag	749594	Another way of saying fag I love to eat cock. Mmmm and when men cream in my mouth, my nipples get hard! Yes it is I, Dobio. I'm cumming out of the closet. Anyone want to give me an ass pounding? *spreads cheeks*
	retetard, retard	6679517	Mispelling of the word \"retard\". People suffering from insomnia dyslexia may accidently spell retard in this way, and when used as an insult, the word backfires in your face and only proves that you are the retard.
	eaux, oh	5357641	Another way of saying \"Oh\" eaux= \"O\" sound. Eaux also a suffix used at the end of French or Cajun names or words.
