label	pair	defid	definition
	huggles, hug	1942426	another way of saying \"Hug\".
	huggles, hug	1942430	another way of saying \"Hug\".
	pear-pa-tear, papertowel	5548261	another way of saying \"papertowel\"Usually is said the most while being extremely fucking high
	bysicle, bicycle	4893952	Misspelling of the word Bicycle, only ever misspelled by dumb hoes or blondesAlso a popsicle with wheels
	spaghettiballin, ballin	10351002	another way of saying ballin but ballin on a higher level
	yes-huh, yes	3989199	another way of saying yes. just like nah-huh.
	halerious, hilarious	9286559	A common misspelling of the word 'hilarious', mostly used over the internet when large handed people with toes for fingers try to type too quickly
	qual, cool	25053	another way of saying cool
	saituchiha, someone	6204282	Another way of saying someone of great status, skill or intelligence.
	famon, famine	8059771	The wrong spelling of the word famine, usually used by someone who cannot spell \"famine\"
	rox, rocks	856722	Another spelling of the word \"rocks.\" Rox is a shorter and sometimes cooler version of \"rocks.\" Rox=Rocks
	tev, lame	2289432	A shortened form of \"whatever\", usually expressing disinterest or mild defensive derision. Origin unknown, but likely formed simultaneously in numerous locales Related to TEEV Another way of saying \"Lame\"
	suay, cool	1466332	1) another way of saying cool 2) to be smooth *pronounced sh-way
	crout, kraut	3850875	An incorrect spelling of the word kraut, which came to be a derogatory term for Germans in World War II. The word is thought to have come from the German word Sauerkraut, which was a popular dish in Germany at the time.
	crapness, crap	2600999	another way of saying crap but in a very pissed off way or possibly in a very good way
	thicc, that	10503837	Another way of saying that someone has a 'phat ass', or 'huge tits'.
	sadtimistic, pessimistic	6058546	Basically another way of saying pessimistic.
	nove, love	2455832	another way of saying love.
	brolic, amazing	3029875	A) Many people refer \"brolic\" with strength, how strong something is. Also related to strength and how big something is. B) Brolic is just another way of saying amazing or beast.
	pooskins, holy	2186957	another way of saying holy shitor crap
	ffr, reformat	1719376	Fdisk Format Reload/Reinstall. A geek abbreviation I picked up a while ago at work. It's another way of saying \"reformat\".
1	rag, haggard	6189300	short for raggard which is another way of saying haggard. Having a gaunt, wasted, or exhausted appearance, due to prolonged suffering, physical exertion or anxiety, someone who is very worn out.
	kablamo, something	1653528	Another way of saying something is cool, (made popular by TLI www.thelonelyisland.com in the movie entitled \"White Power\") because they are cool. no pun intended. Another variation of KABLAMO by Ardy is JAMMERRIFIC.
	stromboli, penis	5756090	another way of saying penis, dick,cock,shaft, you get the point........ strom for short
1	dwag, dawg	5088106	An intentional misspelling of the word \"dawg\", to mean \"A friend or companion; ally; comrade; tovarische.\"
	tarped, trapped	2842479	A misspelling of the word \"trapped\", often used in online RPG-games. This occurs when the player can't move in any direction, mostly because objects or other players are blocking his way.
1	pron, porn	210200	1. A misspelling of the word \"porn\" (short for pornography). Often seen in search engine histories. 2. A popular euphamism for porn, often seen used by wannabe hackers and script kiddies who have to use \"1337speak\" in order to seem cool. Became popular after the search-engine typo became more common.
	pron, porn	452941	n : film or literature designed to stimulate sexual desire syn: pornography, porno n.Pornography. adj.Pornographic. \"pron\" or \"pr0n\" is An accidental or deliberate misspelling of the word 'porn'. Due to the common misspelling of the word, it has been accepted and encouraged amongst the online gaming community. It was also used to get around keyword filtering such as in AOL's parental control. This allowed all the children of the world to have access to all the porn (or pr0n) that is nessessary for a healthy childhood.
	afym, brb	2640317	Acronym: Away From Your Mom Generally used as a joke or another way of saying BRB
	n00, new	719866	An intentional misspelling of the word New, sometimes used in 1337.
	crapskis, crap	2607523	another way of saying crap.
	gash, something	5360760	Another way of saying something is not very good.Replacement word for rubbish,shit,boring,crap
1	hepl, help	207841	A misspelling of the word 'help', often typed when the typer is in extreme need of help. First seen in MMORPG's, like Everquest.
	shodaw, shadow	8366225	Misspelling of the word shadow often used when people attempt to be edgy or just can't spell.
	toxic, nice	465850	Another way of saying nice or great or amazing
	jass, can	11163772	is the slang use of \"Yes\" but more exciting answered, used mostly between teens; the spelling of the word can be having one or multiple \"S\" at the end.
	lamw, lame	12518180	a mispelling of the word \"lame\", first known use in print by some random on facebook
	snargleburger, vagina	6375538	snar-gal-bur-ger a reference or another way of saying vagina.popularized by Craig Ferguson
	randamn, random	3952720	another way of saying \"random\" but it;s like saying random and DAMNN put together.
