label	pair	defid	definition
	biach, bitch	2845932	another way of saying \"bitch\"
	typtyl, ttyl	1521024	type to you later first started by zane on xanga.com a way of saying ttyl but on online journals people type instead of really talking, so typtyl
	persably, perhaps	11669461	A way of saying \"perhaps\" and \"possibly\" as a whole.
	k, 1000	6263501	1. The 11th letter of the alphabet. 2. A way of saying 1000 dollars. 3. A short term for okay.
	skush, argueing	2370356	1.another word used to substitute for \"fight\". 2. also used as another way of saying \"argueing\".
	dousche, douche	4114022	A misspelling of the word \"douche.\"
	aucks, auckland	2616282	The gangsta way of saying Auckland, New Zealand.
1	relaly, really	228217	Gross mispelling of the word \"really,\" possibly by one suffering from Dislexia.
	bibl, bible	2112664	Misspelling of the word \"bible\"
	surpsie, surprise	6131901	a surprise, usually involving head. a reward for finding lost things. a retarded mispelling of the word \"surprise\"
	badgewipe, arsewipe	1808966	another way of saying arsewipe (badge as in short for rusty sherrifs badge)
	paedophile, pedophile	6000361	Somewhat common misspelling of the word pedophile.
	f'cough, fuck	1643752	another way of saying fuck off
	tutalage, tutelage	2111137	A common misspelling of the word tutelage (the instruction of a student by a tutor).
	bizotch, bitch	729854	Another way of saying bitch, which means: 1. A girl whos jelous of other people, who takes other people's things, slutty, mean, and illeterate. Usually the only job they can get at the age of 18 is babysitting. 2. A term that refers to a female dog 3. Sabrina
	cizo, ciao	2539162	It is a cool misspelling of the word \"ciao\" which is an expression of Good Bye. It should only be used with close relations.
	htfo, gtfo	5004523	Commonly known as \"hung the fuck over\", it can also stand for \"hop the fuck off\", which is generally another way of saying \"GTFO\"
1	kampuj, confused	12318894	Another way of saying confused
	nucular, nuclear	854322	A respelling of the word nuclear for those who don't particularly care if they get it right.
	awesome-o-saurus, someone	5353033	1.Only the coolest, most bad-ass dinosaur in the entire fucking universe. It has chainsaw arms and laser-beam eyes, with robotic riders that carry big-ass guns and chew bubble gum. Only weakness is Chuck Norris2. Another way of saying someone is amazing.
1	probly, probably	511342	most often, an internet misspelling of the word \"probably.\" usually used by preteen girls who are either stupid or lazy.
	governnent, government	12131379	A misspelling of the word \"Government\" Accedentaly spelled because a dipshit can't use a keyboard.
1	grate, great	432265	Originally some noroM's mis-spelling of the word \"great.\" Now used to refer to those noroMs.
	vittles, victuals	2638180	The incorrect spelling of the word victuals (hey, grab a dictionary of you don't believe me). It is usually misspelled this way because this is how the word is pronounced. Noun 1. any food edible to humans plural-victuals: rations, provisions, snacks
	tingalin, mind	12537702	1. Can refer to your junk, as in-a way of saying mind your business2. Can be a 'thing' you forgot the word to3. A code for an inappropriate word aka euphemism
	undershoes, socks	3666053	Another way of saying 'socks'. Created by Kaitlin Trevino after realizing that the word 'socks' didn't fit the undergarnment world. undershirt, underwear, undershoes. it just makes more sence.
	easy, goodbye	3663431	short for \"take it easy\" as a way of saying goodbye. Like \"later\" for \"see you later\"
	aquired, acquired	2542920	A mis-spelling of the word acquired.
	incestualal, incestual	6171470	another way of saying incestual.....
	skam, idk	2653697	sorta kinda almost maybe...just another way of saying idk
	penisroach, cockroach	786633	Another way of saying cockroach.
	daint, dont	4318053	another way of saying dont
	wao, wow	5953843	Another way of saying \"wow,\" mostly if you're trying to be cute, or spontaneous.
	smazin', amazing	4006338	A way of saying \"Amazing\" in an amazing way; smazin'. Lindsay Renne came up with this word, and people have been trying to steal it and claim it as their own ever since.
	carruchita, carrucha	11904628	Carruchita is another way of saying carrucha ... it's just basically a Spanish slang of saying car in Spanish,used by cholos :)
