label	pair	defid	definition
	lubeless, painful	4298608	Without lube. Another way of saying painful
	sweetox, something	5882033	Sweetox or Sweetox Daddio was a term used mainly in Southend/Basildon, Essex, by rude boys (youngsters) who were part of the UK Garage scene in the mid to late 90's. Basically another way of saying something is 'cool' or 'safe'. Normally used in reference to a 'banger' (a good tune.. in this case a Garage tune)
	bootelacks, bollocks	2965352	another way of saying bollocks just people won't notice what your saying
	nuu, no	7855827	another way of saying No. as in Kevin Hart would sa .. ( nuuuu she wasn't ready )
	dufotic, doofus	902332	Another way of saying doofus according to my freind Jamie.
0	gravedigger, copyright	4517666	another way of saying copyright infringement of the numerous musicians that have died too young. Someone that uses classic songs in commercials years after an artists death.
	pwn-dered, pwned	4131062	another way of saying pwned
	challah, holla	4140018	Spelling of the word \"holla\" that uses correct throat emphasis and, therefore, causes the speaker to pronounce the word \"holla\" correctly.
	hamster, pussy	4466786	another way of saying \"pussy\" , \"twat\" , \"cunt\" and good old vagina
	soaked, that	1447844	After laughing so hard at something you piss yourself becoming soaked. You dont have to wet your self it is just a way of saying that you find something extreamly funny.
	shwunt, shit	1501936	Originating from the slang spelling of the word 'shit' (can also be spelt 'sh1nt' or 'sh-one-t'), 'shwunt' was designed to be a non-offensive alternative spelling for use in schools and other pc situation, but has evolved into a word in its own right. Can be used as a substitute for the words 'shit' or 'cunt.'
	jeyeah, ya	2382421	jeyeah is like chea , another way of saying ya ,mostly used by famous rapper cassidy.
	repervitarted, repervitarded	1597590	A misspelling of the word repervitarded.
	baish, bitch	1223753	Yet another way of saying \"Bitch\" made famous by Group X's song \"Too many guys.\"
	biscuitbasher, mouth	2185219	Another way of saying \"MOUTH\"
	losea, loser	389903	Another way of saying loser Say it to a total gay loser.
	nottaunga, not	6154184	Nottaunga, is a another way of saying Not Food
	cracking, whats	3582166	Another way of saying whats up also its oftenly used by Kevin Nissanka
	wook, woop	2339953	Wook is the 3rd stage of woot (followed by woop)<br/> It's basically another way of saying woop (because everyone says woop!) Althought woop was another way of saying woot (because everyone used to say woot!). And soon it'll likely move on to woog or something simular. It is a way of expressing happyness or excitement, and ise used by gamers mainly. <br/>Wook also means a nasty old hippy or something, look below...
	afrika, africa	2681667	The Germanic/Dutch spelling of the word Africa. From \"Zuid Afrika\" which was the name for South Africa given by the Dutch settlers who founded, claimed and built the country that was then unjustly stolen from them by the immigrant hordes of low intellect backed up by left wing, bleeding heart, liberal swine. Afrika, is primarily the Nordic European spelling of the English Anglo word.
	evah, ever	7281868	A way of saying \"ever\".
	beare, cool	7109926	Another way of saying \"cool\" or \"awesome.\" A word used to describe an object, event, person, or circumstance as crazy, insane, or badass.
	cud, cuz	2461706	Another way of saying 'cuz', often used in year 12 2007 at Epping Boys High School. Made popular through a conversation in year 10 elective history where two boys were impersonating African American slang, one of the boys said the word 'cud'. When asked what it was, he replied 'Paul Walker says it in the fast and the furious' Since then it has spread and is often used by many of boys in the form.
	butthead, that	8164211	Used by kindergarden to 6th grade as a way of saying that you're a lil shit.
1	cousin, pronounced	299819	The oddly lacking-a-\"t\" official spelling of the word pronounced \"cuzint\" by members of communities in which nearly *everyone* is \"cuzints\" with nearly everyone else.
	sucess, success	9242023	The misspelling of the word success. Typically on the book spine of really good success books.
	churclate, chocolate	5703900	Another way of saying chocolate.
