label	pair	defid	definition
	jeese, jesus	3686936	this is another word for Jesus it could be used in many ways to describe someone or something.
	smarticle, smarticle	3212372	The defintion for the word smarticle is a brainy person. So if you're smarticle good on ya haha!
	bimbolo, penis	9560096	It is a dominican slang for the word penis
1	quonky, sex	6018472	another word for sex
1	daogh, doagh	248671	Incorrect Spelling of the word \"Doagh\"
	p-nono, penis	4337473	Another word for penis. The male version of va-jayjay.
	wump, pwn	5586623	another word for pwn
	yousche, usual	2284428	An abbreviation for the word usual
	joost, nerd	1526654	Another word for nerd is commonly found in a habitat which contains memorabilia, merchandise, and other displays of worship towards the following: star wars, harry potter, megaman. has been spotted engaging in a peculiar form of cannibalism (i.e, eating large pieces of skin off of the surface of his own face).
	mnyahh, see	4056006	what a old school gangster says before they say the word \"see\"
	wardlaw, idiot-box	4220554	Another word for \"idiot-box\"A person with \"void-like\" intelligence.
	chestceps, pectorial	5196468	another word for pectorial or chest muscle
	criznap, criz	65318	Variation of the word CRIZ.
0	mangla, mangla	9404331	Swedish ghetto slang which means fuck (sex) also Jappa is fuck Jappa is another word for mangla mostly you say jappa
	griz, stuff	584159	a better replacement for the word \"stuff\"
	kadoke, okay	12187327	A substitute for the word \"okay,\" that is often used to express a more apathetic or even dismissive response.
	illaminuti, illuminati	8284626	The only correct way to say Illuminati.
	hore, hore	2589812	An alternate spelling to the word hore although hore is not frowned upon but rather one is proud to be a hore. A h0re is basicly a dude who gets quite a bit of poon
	tweef, semen	4723459	Another word for semen when it's expelled onto the breasts.
	boozles, u	1284507	A way to say u are freaked out, suprisingly freaked out
	diggin, jacking	6070875	In general it's pleasuring yourself.Better way of saying jacking off && fingering yourself.
	thay, they	2588354	Misspelling of the word 'they'. First seen in a snippet of men's bathroom graffiti at Sterling's Restaurant (Sunland, CA) in 1985.
	warlus, walrus	4066454	Asian pronounciation of the word \"Walrus\", used to refer to large tusked mammals, and fat whites with no skill
	verisonal, phone	11811083	Another word for Phone Sex.
	nettah, really	1937699	means for real. It is another word for really or seriously. It is usually used in combination with \"Oh\" as in \"Oh nettah?!\", which basically means \"Oh for real?!\" or \"really\".
	nin10doughjaden, shit	10092313	An dumbass who love's nintendo and is destined to die alone living in his mom's basement. he is also another word for shit.
	breasticles, man	1071953	Breasticles: man boobs breast+testicles=breasticles 2:fun way to say man titties
	fleek, point	8165272	Another word for point
	anti-borange, borange	980666	Word used to describe those \"touched\" individuals in our community who give the thumbs down to the use of the word borange.
	soy, so	6335059	an exageration of the word so, a terms hipsters use to make mainstream people who try to act hipsters out of place
	poant, pwnt	1343258	Phonetic spelling of the word \"pwnt.\"
	hamza, cunt	12355148	Another word for cunt
	paqùedés, fuck	7756377	Another word for 'fuck'
1	bijj, bitch	1928911	A cleaner way of saying \"bitch\". Used for people who wish not to feel any guilt from cursing. Can also be used as a universal noun. (ie, \"sandbijj). \"bijj, bijjy, bijjo, bijjing, bijjjjjjjjj\"
	pumpumpanasher, pumplex	3084428	Another word for pumplex
	cheff, peace	2212917	1. A person with the name of jeff. 2. Can be used to show emotion when completly toked. 3. A synonym for the word peace. 4. Can be used as a greeting.
	cheff, peace	2205462	1. A person with the name of jeff fox. 2. Can be used to show emotion when completly toked. 3. A synonym for the word peace. 4. Can be used as a greeting.
	gim, gay	12360719	Retarded way of saying gay
	jun, injun	2610173	Much like the word Nigga for African Americans, \"Jun\" is a slang term for Asian Indians and comes from the word Injun. Is commonly used by Indians, but there is no remorse in letting White people or other races using it as long as they are your friends. Is not supposed to be used to mean anything about Native Americans, but Asian Indians. This is NOT pronounced like the Asian name Jun (Pronounced \"June\" or \"Joon\",) but rather is pronounced \"juhn\" like how you would say the end of the word Injun. Another variation of this word is inja.
