label	pair	defid	definition
	chunklzz, fatass	287683	Another word for fatass.
	sassing, sass	1985673	Basically a general word refering to when someone is disrespecting or generally just gettin on your nerves. Can also be used in relation to the word sass
	tamtress, slut	5001187	A girl that likes to get laid. She will fuck just about anyone. A nice way to say slut, or another way to say promiscuous.
	nub, n00b	1647521	Started in a high school in Arizona, where there was a girl who just had nubs for arms. We called her \"nubs\". The word became popular in our group for something lame and failing at life. Not pertaining or related to the word n00b or gaming.
	cootie, cutie	5218246	A childlike way of saying something or someone is a cutie.Alternative of saying in regards to something appealing and attractive be it a person or thing in variance of the word cutie.
	bambi, marijuana	6955435	Another word for Marijuana.
	mento, mental	2205842	A shortened version of the word mental or mentally challenged. It is used as a derogatory term to state that someone is acting in a mental fashion. The root \"men\" deriving from the Latin meaning \"to think\" gives the base of the word and adding \"to\" that means nothing would make it\" to think not at all\" thus creating the word 'mento'.
	berma, marijuana	1622918	another word for marijuana sometimes used for a word that is a higher-quality weed -see ganja/ganji/ganj-
	booty, body	841896	Another word for body.
	gaei, gay	12873525	A different spelling/variation of the word 'Gay' or 'Gae'. Used by many different young peoples ranging from South East London to Chislehurst.
	snakers, snakers	1212007	The background of the word snakers came from Canada. Part of the Biz Empire, it was primarly used as in modern terms as we use 'shit' today.
	waffle, vagina	5620567	Another way to say Vagina Similar to twat and pussy
	aigheet, alright	2482716	An black way and a cooler way to say alright.
	frangita, vagina	2151522	Frangita is a word used by many peeple, instead of the word \"vagina\" or \"pussy\" or \"punnani\"
	units, units	2284101	anything really! it can mean anything! the word fresh really compliments the use of the word units as well..see example below!
	fwn, phone	2894489	in either internet shorthand or text, fwn can be a shortened version of the word \"phone,\" by taking the \"ph\" sound of phone and subbing it with a \"f,\" and then taking \"own\" sound from the term \"pwn,\" and combining it with the \"f\" Phone = fone own = pwn = -wn f-one + wn = fwn fwn and phone are pronouced the same way.
	specker, speaker	11038269	Another word for speaker
1	lit, something	10926506	Another word for something to be amazing or Ligit.
0	sidge, sauasage	2063565	A shortened form of the word \"sauasage\", usually used by little dirty ghetto kids whos parents are too poor to be able to afford good quality meat like T-Bone steak, or lamb chops.
	toto, dick	1636675	Another word for dick
	stram, smart	1517919	Smart, but not brilliant. Considered a common online mispelling of the word smart.
	shebang, wow	291506	Country bumpkin way of saying 'wow' or 'damn'
	ayee, yeaaa	2912835	is another word for yeaaa.but in a happyer cooler way...mostly used when something sexuall was said
1	'lo, hello	3177067	A cooler quicker, lazier way of saying hello.
	pluser, feel	4364140	Adjective, utilized to enhance one's aura, an addition to their personality, an expression of personal flattery that makes the giver and the receiver of the word feel good about themselves.
	indidly, indeed	4434434	Another and funnier way of saying \"indeed\" but it is more nerdier too
	hapnin, whats	11410486	Mostly used in Scotland, \"hapnin\"means \"whats up\" \"Whats happening\"Just a shorter way of saying whats happening.
	appz, happy	3004487	Shortening of apples and oranges. which is another word for happy or good.
	dismount, pulling	184413	Another word for pulling out
1	bagina, vagina	292797	a bad ass way of saying 'vagina'
	cuttie, cutie	1421211	mispelling of the word cutie that is just wrong
	grrooaarr, grr	1165598	Its another way to say \"grr\" but its a lot better.
	kewl, cool	2132992	a kewter, more klever, kewler way of saying 'cool'
	kewl, cool	1080769	Internet slang for the word \"Cool\" A unique word in Uglish.
	kewl, cool	4190948	1. An extremely bland and narcissistic way to say the word \"cool\" with all the enthusiasm deflated out of it. In effect, the negation of all those brats in commercials that say, \"COOL!\" to a pair of sneakers, hot pockets, or quaker oat bars.2. An inside joke or commentary that can be used directly, yet secretly, to someone truly despised.3. A descriptive term used to define something that has a decidedly thirteen-year-old, teeny-bopper quality.
	kewl, cool	5456804	The coolest spelling of the word \"cool.\" A great way to annoy those who are easily annoyed.
	kewl, cool	1094951	a cute way of saying cool
	kewl, cool	1893738	Kewl is another way of saying cool. It is just spelt differently. cool is the same as nice,interresting.
1	kewl, cool	586316	adj. antonym of the word cool. originates from a misspelling of the word cool (ironically), but because of the fact that the only ones to make this mistake were, in fact, n00B fucks the word assumed it's own meaning. not regarded as at all derogatery due to the misunderstanding of meanings.
