label	pair	defid	definition
	chunkers, vomiting	4911837	another word for vomiting, puking, throwing up. A name to call some one when they vomit
	aksed, asked	3641041	common mispronunciation of the word asked
	porsetta, pussy	883758	Originally from the Portugues - the prettiest and most exotic way of saying pussy, second only to its Arabic form kuruma
	cudoos, cool	966591	basically just another word for cool wicked mint sorted
	spongelies, money	3626862	Another word for money
	dickety, twenty	120392	A replacement for the word \"twenty\".
	dickety, twenty	115572	In the Simpsons episode entitled \"The Curse of the Flying Hellfish\", Grampa Simpson uses it in place of the word \"twenty\" to recall his initiation into a gang called the Hellfish. His reason? The Germans stole \"twenty\" from them.
	infocus, projector	3098650	InFocus is a brand of projectors. However, ignorant folks think infocus is just another word for \"projector\" and will call any projector \"an infocus\".
	tickaroo, correct	12091221	A way of saying correct
	minutrax, minute	1962781	The combination of the word \"Minute\" and \"Tracks\"
	bisexuwhale, bisexual	12666142	A whale with bisexual tendencies or just a cooler way to say bisexual.
	cad, cow	6317434	Abbreviated way of saying Cow Appreciation Day.
	beblet, babe	7089385	Another word for \"babe\" or \"baby\" but however a cuter term.
	gundam, shit	11551550	Another word for shit. Usually is garbage at every game they play at including Overwatch.
	dunbar, dunzo	2709655	a slang word for done/finshed. and offtake of the word \"Dunzo\" Made famous by the Laguna Beach cast, but changed to be the name of the roomate of the Real World Sydney cast; Dunbar
	bliger, nigger	1066221	Another word for nigger. White people use it because they are afraid to nigger around black people.
	car22n, cartoon	2671756	a fantasticly innovative yet very roger watt way to say cartoon. it can also be said in northern england to stand for the word carton.
0	davidson, someone	6057935	Calling someone a davidson is another way of saying someone is a lost cause and is a waste of space. Davidson's often crawl deep into the anus of unusually gargantuan chimpanzees and suckle the nutritious juice from monkey dangle berries.
	cookies, cooties	7876153	1) Objects that you eat 2) A girl's way of saying \"Cooties\" 3) Sweet Love 4) Ways for the government and your family to track down your network history. 5) A Lower-class slang term when you don't know what to say.
	blooped, blooper	5392473	its the verb past tense version of the word blooper... someone makes a mistake or something that is slightly embarrassing
	manpal, boyfriend	854261	Another word for boyfriend.
	bick, bitch	1370385	The mixture of the word bitch and dick.
	blackslash, backslash	5396437	Misspelling of the word Backslash , also a person who has a lack of imagination.
	crappeidt, crappy	5148769	1. The Worst room in a house2. Emma's way of saying crappy, Crappiest, Ect.
	person, best	7445064	More affectionate way to say best friend. The one human that doesn't annoy you and will always be your number one. Someone who you will always love.
	zdang, dang	5462462	an alternate way of saying 'dang' with some sass, expressing disbelief, acknowledgment, anger, sadness, happiness, etc.used in the same context as 'dang' or 'damn'(zuhzDANG)
	permurp, bitch	2032683	1. Another word for Bitch 2. A girl who seems to be constantly PMSing
	oppai, breakfast	12927753	Oppai is a nerdy way of saying breakfast. It refers to anything flat like pancakes or waffles.
	kez, cousin	6532634	Noun informalorigin Arabic English.Is a mispronunciation and corruption of the word 'cousin' by those Middle Eastern decent. By referring to a person as 'kez' or 'cousin', the speaker is implying a title and a deal of affection or respect for the person.
